Date,High,Low
2019-07-11,89.67,74.67
2019-07-12,88.00,72.00
2019-07-13,93.00,74.00
2019-07-14,91.33,73.67
2019-07-23,88.67,70.33
2019-07-24,91.00,74.00
2019-07-25,90.33,72.00
2019-07-26,91.33,71.33
2019-07-27,88.33,74.00
2019-07-28,86.00,71.00
2019-08-02,86.33,71.33
2019-08-03,90.00,69.67
2019-08-04,88.00,69.67
2019-08-13,87.33,67.67
2019-08-14,88.00,69.67
2019-08-15,88.33,71.67
2019-08-16,87.67,73.33
2019-08-17,88.33,74.67
2019-08-18,86.67,74.00
2019-08-25,87.00,70.33
2019-08-26,88.33,70.00
2019-08-27,88.33,71.67
2019-08-28,90.33,73.33
2019-08-29,89.00,72.00
2019-09-01,81.67,64.67
2019-09-02,80.67,63.67