Date,Time,Opponent
2019-07-11,19:00,Toledo
2019-07-12,19:00,Toledo
2019-07-13,18:30,Toledo
2019-07-14,14:00,Toledo
2019-07-23,19:00,Gwinnett
2019-07-24,12:00,Gwinnett
2019-07-25,19:00,Gwinnett
2019-07-26,19:00,Scranton
2019-07-27,18:30,Scranton
2019-07-28,14:00,Scranton
2019-08-02,19:00,Toledo
2019-08-03,18:30,Toledo
2019-08-04,14:00,Toledo
2019-08-13,19:00,Lehigh Valley
2019-08-14,19:00,Lehigh Valley
2019-08-15,19:00,Lehigh Valley
2019-08-16,19:00,Rochester
2019-08-17,18:30,Rochester
2019-08-18,14:00,Rochester
2019-08-25,14:00,Indianapolis
2019-08-26,19:00,Columbus
2019-08-27,19:00,Columbus
2019-08-28,19:00,Columbus
2019-08-29,19:00,Columbus
2019-09-01,18:00,Indianapolis
2019-09-02,13:00,Indianapolis